===== ESP32 BENCHMARK RESULTS =====
WiFi RSSI: 0 dBm
  Iteration 224: 143 ms
  Iteration 225: 143 ms
  Iteration 226: 144 ms
  Iteration 227: 144 ms
  Iteration 228: 143 ms
  Iteration 229: 143 ms
  Iteration 230: 143 ms
  Iteration 231: 144 ms
  Iteration 232: 143 ms
  Iteration 233: 144 ms
  Iteration 234: 143 ms
  Iteration 235: 143 ms
  Iteration 236: 144 ms
  Iteration 237: 143 ms
  Iteration 238: 144 ms
  Iteration 239: 144 ms
  Iteration 240: 143 ms
  Iteration 241: 144 ms
  Iteration 242: 144 ms
  Iteration 243: 144 ms
  Iteration 244: 144 ms
  Iteration 245: 143 ms
  Iteration 246: 143 ms
  Iteration 247: 143 ms
  Iteration 248: 144 ms
  Iteration 249: 144 ms
  Iteration 250: 143 ms
  Iteration 251: 143 ms
  Iteration 252: 144 ms
  Iteration 253: 144 ms
  Iteration 254: 143 ms
  Iteration 255: 144 ms
  Iteration 256: 144 ms
  Iteration 257: 144 ms
  Iteration 258: 144 ms
  Iteration 259: 144 ms
  Iteration 260: 144 ms
  Iteration 261: 144 ms
  Iteration 262: 144 ms
  Iteration 263: 144 ms
  Iteration 264: 143 ms
  Iteration 265: 144 ms
  Iteration 266: 144 ms
  Iteration 267: 144 ms
  Iteration 268: 144 ms
  Iteration 269: 144 ms
  Iteration 270: 144 ms
  Iteration 271: 144 ms
  Iteration 272: 144 ms
  Iteration 273: 143 ms
  Iteration 274: 143 ms
  Iteration 275: 143 ms
  Iteration 276: 144 ms
  Iteration 277: 143 ms
  Iteration 278: 144 ms
  Iteration 279: 144 ms
  Iteration 280: 144 ms
  Iteration 281: 144 ms
  Iteration 282: 144 ms
  Iteration 283: 144 ms
  Iteration 284: 144 ms
  Iteration 285: 144 ms
  Iteration 286: 143 ms
  Iteration 287: 143 ms
  Iteration 288: 143 ms
  Iteration 289: 144 ms
  Iteration 290: 144 ms
  Iteration 291: 144 ms
  Iteration 292: 144 ms
  Iteration 293: 143 ms
  Iteration 294: 143 ms
  Iteration 295: 143 ms
  Iteration 296: 143 ms
  Iteration 297: 143 ms
  Iteration 298: 144 ms
  Iteration 299: 142 ms
  Iteration 300: 143 ms
  Iteration 301: 143 ms
  Iteration 302: 143 ms
  Iteration 303: 144 ms
  Iteration 304: 144 ms
  Iteration 305: 143 ms
  Iteration 306: 143 ms
  Iteration 307: 144 ms
  Iteration 308: 143 ms
  Iteration 309: 144 ms
  Iteration 310: 143 ms
  Iteration 311: 144 ms
  Iteration 312: 144 ms
  Iteration 313: 143 ms
  Iteration 314: 143 ms
  Iteration 315: 144 ms
  Iteration 316: 144 ms
  Iteration 317: 144 ms
  Iteration 318: 143 ms
  Iteration 319: 143 ms
  Iteration 320: 143 ms
  Iteration 321: 144 ms
  Iteration 322: 144 ms
  Iteration 323: 144 ms
  Iteration 324: 143 ms
  Iteration 325: 144 ms
  Iteration 326: 144 ms
  Iteration 327: 144 ms
  Iteration 328: 144 ms
  Iteration 329: 144 ms
  Iteration 330: 144 ms
  Iteration 331: 144 ms
  Iteration 332: 144 ms
  Iteration 333: 144 ms
  Iteration 334: 143 ms
  Iteration 335: 143 ms
  Iteration 336: 144 ms
  Iteration 337: 143 ms
  Iteration 338: 143 ms
  Iteration 339: 143 ms
  Iteration 340: 143 ms
  Iteration 341: 143 ms
  Iteration 342: 144 ms
  Iteration 343: 144 ms
  Iteration 344: 143 ms
  Iteration 345: 144 ms
  Iteration 346: 144 ms
  Iteration 347: 144 ms
  Iteration 348: 143 ms
  Iteration 349: 143 ms
  Iteration 350: 144 ms
  Iteration 351: 144 ms
  Iteration 352: 143 ms
  Iteration 353: 143 ms
  Iteration 354: 144 ms
  Iteration 355: 144 ms
  Iteration 356: 143 ms
  Iteration 357: 144 ms
  Iteration 358: 144 ms
  Iteration 359: 143 ms
  Iteration 360: 143 ms
  Iteration 361: 144 ms
  Iteration 362: 143 ms
  Iteration 363: 143 ms
  Iteration 364: 143 ms
  Iteration 365: 144 ms
  Iteration 366: 143 ms
  Iteration 367: 143 ms
  Iteration 368: 144 ms
  Iteration 369: 144 ms
  Iteration 370: 144 ms
  Iteration 371: 143 ms
  Iteration 372: 144 ms
  Iteration 373: 143 ms
  Iteration 374: 144 ms
  Iteration 375: 144 ms
  Iteration 376: 143 ms
  Iteration 377: 143 ms
  Iteration 378: 144 ms
  Iteration 379: 144 ms
  Iteration 380: 144 ms
  Iteration 381: 144 ms
  Iteration 382: 144 ms
  Iteration 383: 144 ms
  Iteration 384: 143 ms
  Iteration 385: 144 ms
  Iteration 386: 144 ms
  Iteration 387: 144 ms
  Iteration 388: 144 ms
  Iteration 389: 144 ms
  Iteration 390: 144 ms
  Iteration 391: 144 ms
  Iteration 392: 144 ms
  Iteration 393: 144 ms
  Iteration 394: 143 ms
  Iteration 395: 143 ms
  Iteration 396: 144 ms
  Iteration 397: 143 ms
  Iteration 398: 143 ms
  Iteration 399: 143 ms
  Iteration 400: 144 ms
  Iteration 401: 143 ms
  Iteration 402: 143 ms
  Iteration 403: 143 ms
  Iteration 404: 144 ms
  Iteration 405: 144 ms
  Iteration 406: 144 ms
  Iteration 407: 143 ms
  Iteration 408: 143 ms
  Iteration 409: 144 ms
  Iteration 410: 144 ms
  Iteration 411: 143 ms
  Iteration 412: 144 ms
  Iteration 413: 143 ms
  Iteration 414: 143 ms
  Iteration 415: 144 ms
  Iteration 416: 143 ms
  Iteration 417: 144 ms
  Iteration 418: 144 ms
  Iteration 419: 143 ms
  Iteration 420: 143 ms
  Iteration 421: 144 ms
  Iteration 422: 143 ms
  Iteration 423: 143 ms
  Iteration 424: 143 ms
  Iteration 425: 144 ms
  Iteration 426: 143 ms
  Iteration 427: 143 ms
  Iteration 428: 143 ms
  Iteration 429: 144 ms
  Iteration 430: 144 ms
  Iteration 431: 143 ms
  Iteration 432: 143 ms
  Iteration 433: 143 ms
  Iteration 434: 144 ms
  Iteration 435: 143 ms
  Iteration 436: 143 ms
  Iteration 437: 144 ms
  Iteration 438: 144 ms
  Iteration 439: 144 ms
  Iteration 440: 143 ms
  Iteration 441: 143 ms
  Iteration 442: 144 ms
  Iteration 443: 144 ms
  Iteration 444: 143 ms
  Iteration 445: 144 ms
  Iteration 446: 143 ms
  Iteration 447: 143 ms
  Iteration 448: 143 ms
  Iteration 449: 143 ms
  Iteration 450: 143 ms
  Iteration 451: 144 ms
  Iteration 452: 143 ms
  Iteration 453: 143 ms
  Iteration 454: 144 ms
  Iteration 455: 144 ms
  Iteration 456: 144 ms
  Iteration 457: 143 ms
  Iteration 458: 144 ms
  Iteration 459: 144 ms
  Iteration 460: 144 ms
  Iteration 461: 144 ms
  Iteration 462: 144 ms
  Iteration 463: 144 ms
  Iteration 464: 144 ms
  Iteration 465: 143 ms
  Iteration 466: 143 ms
  Iteration 467: 144 ms
  Iteration 468: 143 ms
  Iteration 469: 144 ms
  Iteration 470: 144 ms
  Iteration 471: 144 ms
  Iteration 472: 143 ms
  Iteration 473: 143 ms
  Iteration 474: 143 ms
  Iteration 475: 143 ms
  Iteration 476: 143 ms
  Iteration 477: 144 ms
  Iteration 478: 143 ms
  Iteration 479: 144 ms
  Iteration 480: 143 ms
  Iteration 481: 143 ms
  Iteration 482: 144 ms
  Iteration 483: 143 ms
  Iteration 484: 144 ms
  Iteration 485: 143 ms
  Iteration 486: 143 ms
  Iteration 487: 144 ms
  Iteration 488: 143 ms
  Iteration 489: 144 ms
  Iteration 490: 143 ms
  Iteration 491: 144 ms
  Iteration 492: 143 ms
  Iteration 493: 143 ms
  Iteration 494: 144 ms
  Iteration 495: 144 ms
  Iteration 496: 144 ms
  Iteration 497: 144 ms
  Iteration 498: 144 ms
  Iteration 499: 144 ms
  Iteration 500: 143 ms
  Iteration 501: 143 ms
  Iteration 502: 144 ms
  Iteration 503: 144 ms
  Iteration 504: 143 ms
  Iteration 505: 144 ms
  Iteration 506: 144 ms
  Iteration 507: 143 ms
  Iteration 508: 144 ms
  Iteration 509: 143 ms
  Iteration 510: 144 ms
  Iteration 511: 144 ms
  Iteration 512: 143 ms
  Iteration 513: 144 ms
  Iteration 514: 143 ms
  Iteration 515: 143 ms
  Iteration 516: 144 ms
  Iteration 517: 144 ms
  Iteration 518: 144 ms
  Iteration 519: 144 ms
  Iteration 520: 144 ms
  Iteration 521: 144 ms
  Iteration 522: 144 ms
  Iteration 523: 143 ms
  Iteration 524: 143 ms
  Iteration 525: 144 ms
  Iteration 526: 143 ms
  Iteration 527: 143 ms
  Iteration 528: 144 ms
  Iteration 529: 144 ms
  Iteration 530: 143 ms
  Iteration 531: 144 ms
  Iteration 532: 144 ms
  Iteration 533: 143 ms
  Iteration 534: 143 ms
  Iteration 535: 144 ms
  Iteration 536: 143 ms
  Iteration 537: 144 ms
  Iteration 538: 144 ms
  Iteration 539: 144 ms
  Iteration 540: 144 ms
  Iteration 541: 143 ms
  Iteration 542: 144 ms
  Iteration 543: 143 ms
  Iteration 544: 144 ms
  Iteration 545: 144 ms
  Iteration 546: 144 ms
  Iteration 547: 144 ms
  Iteration 548: 143 ms
  Iteration 549: 144 ms
  Iteration 550: 144 ms
  Iteration 551: 144 ms
  Iteration 552: 143 ms
  Iteration 553: 142 ms
  Iteration 554: 143 ms
  Iteration 555: 144 ms
  Iteration 556: 143 ms
  Iteration 557: 144 ms
  Iteration 558: 143 ms
  Iteration 559: 144 ms
  Iteration 560: 144 ms
  Iteration 561: 143 ms
  Iteration 562: 143 ms
  Iteration 563: 143 ms
  Iteration 564: 143 ms
  Iteration 565: 144 ms
  Iteration 566: 144 ms
  Iteration 567: 143 ms
  Iteration 568: 144 ms
  Iteration 569: 143 ms
  Iteration 570: 144 ms
  Iteration 571: 144 ms
  Iteration 572: 143 ms
  Iteration 573: 144 ms
  Iteration 574: 143 ms
  Iteration 575: 144 ms
  Iteration 576: 143 ms
  Iteration 577: 144 ms
  Iteration 578: 143 ms
  Iteration 579: 143 ms
  Iteration 580: 143 ms
  Iteration 581: 143 ms
  Iteration 582: 143 ms
  Iteration 583: 144 ms
  Iteration 584: 143 ms
  Iteration 585: 143 ms
  Iteration 586: 144 ms
  Iteration 587: 144 ms
  Iteration 588: 143 ms
  Iteration 589: 144 ms
  Iteration 590: 143 ms
  Iteration 591: 144 ms
  Iteration 592: 143 ms
  Iteration 593: 144 ms
  Iteration 594: 144 ms
  Iteration 595: 143 ms
  Iteration 596: 144 ms
  Iteration 597: 144 ms
  Iteration 598: 144 ms
  Iteration 599: 144 ms
  Iteration 600: 144 ms
  Iteration 601: 143 ms
  Iteration 602: 143 ms
  Iteration 603: 143 ms
  Iteration 604: 144 ms
  Iteration 605: 144 ms
  Iteration 606: 144 ms
  Iteration 607: 144 ms
  Iteration 608: 143 ms
  Iteration 609: 144 ms
  Iteration 610: 144 ms
  Iteration 611: 144 ms
  Iteration 612: 144 ms
  Iteration 613: 144 ms
  Iteration 614: 143 ms
  Iteration 615: 144 ms
  Iteration 616: 144 ms
  Iteration 617: 144 ms
  Iteration 618: 143 ms
  Iteration 619: 143 ms
  Iteration 620: 144 ms
  Iteration 621: 143 ms
  Iteration 622: 144 ms
  Iteration 623: 144 ms
  Iteration 624: 143 ms
  Iteration 625: 144 ms
  Iteration 626: 144 ms
  Iteration 627: 144 ms
  Iteration 628: 143 ms
  Iteration 629: 144 ms
  Iteration 630: 144 ms
  Iteration 631: 144 ms
  Iteration 632: 144 ms
  Iteration 633: 143 ms
  Iteration 634: 143 ms
  Iteration 635: 143 ms
  Iteration 636: 143 ms
  Iteration 637: 144 ms
  Iteration 638: 143 ms
  Iteration 639: 144 ms
  Iteration 640: 143 ms
  Iteration 641: 143 ms
  Iteration 642: 143 ms
  Iteration 643: 144 ms
  Iteration 644: 144 ms
  Iteration 645: 143 ms
  Iteration 646: 143 ms
  Iteration 647: 143 ms
  Iteration 648: 143 ms
  Iteration 649: 144 ms
  Iteration 650: 143 ms
  Iteration 651: 143 ms
  Iteration 652: 143 ms
  Iteration 653: 143 ms
  Iteration 654: 144 ms
  Iteration 655: 144 ms
  Iteration 656: 143 ms
  Iteration 657: 143 ms
  Iteration 658: 143 ms
  Iteration 659: 143 ms
  Iteration 660: 144 ms
  Iteration 661: 143 ms
  Iteration 662: 144 ms
  Iteration 663: 144 ms
  Iteration 664: 143 ms
  Iteration 665: 144 ms
  Iteration 666: 144 ms
  Iteration 667: 143 ms
  Iteration 668: 144 ms
  Iteration 669: 143 ms
  Iteration 670: 143 ms
  Iteration 671: 144 ms
  Iteration 672: 143 ms
  Iteration 673: 143 ms
  Iteration 674: 143 ms
  Iteration 675: 144 ms
  Iteration 676: 143 ms
  Iteration 677: 144 ms
  Iteration 678: 143 ms
  Iteration 679: 143 ms
  Iteration 680: 143 ms
  Iteration 681: 144 ms
  Iteration 682: 144 ms
  Iteration 683: 143 ms
  Iteration 684: 144 ms
  Iteration 685: 143 ms
  Iteration 686: 143 ms
  Iteration 687: 144 ms
  Iteration 688: 144 ms
  Iteration 689: 144 ms
  Iteration 690: 143 ms
  Iteration 691: 143 ms
  Iteration 692: 143 ms
  Iteration 693: 144 ms
  Iteration 694: 143 ms
  Iteration 695: 143 ms
  Iteration 696: 143 ms
  Iteration 697: 143 ms
  Iteration 698: 143 ms
  Iteration 699: 144 ms
  Iteration 700: 143 ms
  Iteration 701: 144 ms
  Iteration 702: 143 ms
  Iteration 703: 144 ms
  Iteration 704: 144 ms
  Iteration 705: 144 ms
  Iteration 706: 143 ms
  Iteration 707: 143 ms
  Iteration 708: 144 ms
  Iteration 709: 144 ms
  Iteration 710: 144 ms
  Iteration 711: 143 ms
  Iteration 712: 143 ms
  Iteration 713: 143 ms
  Iteration 714: 144 ms
  Iteration 715: 144 ms
  Iteration 716: 143 ms
  Iteration 717: 144 ms
  Iteration 718: 144 ms
  Iteration 719: 143 ms
  Iteration 720: 144 ms
  Iteration 721: 143 ms
  Iteration 722: 144 ms
  Iteration 723: 144 ms
  Iteration 724: 144 ms
  Iteration 725: 144 ms
  Iteration 726: 143 ms
  Iteration 727: 143 ms
  Iteration 728: 144 ms
  Iteration 729: 144 ms
  Iteration 730: 144 ms
  Iteration 731: 144 ms
  Iteration 732: 143 ms
  Iteration 733: 143 ms
  Iteration 734: 142 ms
  Iteration 735: 144 ms
  Iteration 736: 143 ms
  Iteration 737: 143 ms
  Iteration 738: 144 ms
  Iteration 739: 143 ms
  Iteration 740: 144 ms
  Iteration 741: 143 ms
  Iteration 742: 143 ms
  Iteration 743: 144 ms
  Iteration 744: 144 ms
  Iteration 745: 144 ms
  Iteration 746: 144 ms
  Iteration 747: 143 ms
  Iteration 748: 144 ms
  Iteration 749: 143 ms
  Iteration 750: 144 ms
  Iteration 751: 144 ms
  Iteration 752: 144 ms
  Iteration 753: 143 ms
  Iteration 754: 144 ms
  Iteration 755: 144 ms
  Iteration 756: 144 ms
  Iteration 757: 144 ms
